Date,Location,Country,Text,Sentiment
Thu Sep 29 17:05:24 PDT 2011,Atlanta,United States,Tikka Masala Chicken anyone?  #middleeastern #Indian #tikkamasala #yummy #dinner #cooking http://t.co/Gkp3Hsswne,pos
Mon May 16 18:53:35 PDT 2011,Los Angeles MidCity,United States,Lemon Chicken Salad was Dank.!!! 😋👭 @SpacceeOutt #Lunch #CravingSatisfied,neg
Tue Mar 22 09:38:56 PDT 2011,Cebu,Philippines,Chicken mami for the win! #30pesos #breakfast #trafficjam http://t.co/pyo0vWsn25,pos
Mon Jun 22 01:40:19 PDT 2015,"Kuala Lumpur, Malaysia",Malaysia,A cup of soy latte to start my day today !!! #soy #latte #breakfast #morning #maroubra #beach #sydney… http://t.co/3i1RuQuIvK,pos
Fri May 24 23:10:10 PDT 2013,"San Diego, CA ☀",United States,"Teriyaki salmon, mushrooms, dumplings and a side salad! Yum! #healthy #healthyeats #lunch #sogood… http://t.co/wuZbFcvA7L",pos
Sat Feb 21 09:43:15 PST 2009,Richmond/Goochland raised.,United States,"Chicken nachos with homemade pickled chayote squash, sheep's milk cheese, and pico de gallo. #dinner #health #instantITIS 🍴😴",neutral
Sat Apr 17 06:03:50 PDT 2010,Tampa,United States,Cilantro lime grilled chicken over rice topped with an avocado salsa 👌 #healthy #dinner #imthechef #yourwelcome http://t.co/ObdevZ6jWj,pos
Tue Jul 21 20:51:16 PDT 2015,"Richmond, Va",United States,Chicken meatballs and veggie cheesy quinoa!! I'm so ready for this! #food #omnoms #dinner #quinoa http://t.co/14ZLyItPJ0,pos
Sat Mar 14 15:19:51 PDT 2015,"Edmonton, AB",Canada,My salsa chicken casserole. I can't wait to dig in. #dinner #smellssoyummy http://t.co/7A4j3XQ8co,pos
Sun Jul 05 10:09:31 PDT 2015,"iphone:36.917390,-76.252907",United States,Glazed Pork Chops with rice and veggies ... Jus a lil meal i put together #chefstatus #dinner #foodporn http://t.co/HjJbMWrQzp,pos
Sun Sep 28 20:47:06 PDT 2008,Brooklyn ,United States,"Black beans, garlic infused white rice, bbq chicken & avocado #dinner w/ @lnickole #yummy #foodporn… http://t.co/CqPSlaBZuu",pos
Sun Sep 28 20:47:06 PDT 2008,Brooklyn ,United States,"Black beans, garlic infused white rice, bbq chicken & avocado #dinner  #yummy #foodporn #itis #burp… [pic] — https://t.co/jWaxy7iCua",pos
Sun Oct 14 16:04:33 PDT 2012,culpeper,United States,Chicken bake with mashed potatoes and buttered green beans for dinner. #yummy  #delicious #dinner,pos
Sun Jun 08 10:11:30 PDT 2008,Philippines,Philippines,Fresh corned beef roesti #breakfast #happiness #metime #solotime @ Breakfast at Antonio's http://t.co/uHrIq3fVtf,pos
Mon Apr 01 18:52:53 PDT 2013,"Danbury, CT",United States,Nothing beats buffalo chicken pizza and garlic-knots for dinner. #pizza #dinner,pos
Sun Dec 04 12:04:57 PST 2011,NIL,Egypt,"Head to #echo, head to #echo! Hip scene & delish #happyhour. Order this veggie roll w added salmon for a crisp clean #dinner @EdibleSoFla",pos
Wed May 01 09:31:36 PDT 2013,ottawa ks ,United States,Mmmm pepered teriyaki turkey with broccoli casserole #dinner #WhatRUEating #W.R.U.E #IfSheCanCook #WifeHer #WifeyMaterial,neg
Tue Apr 21 04:50:47 PDT 2015,☁☁☁,United States,peking for #dinner 😝 #imhealthy http://t.co/Lf5siAbQbA,neutral
Sun Mar 29 17:27:30 PDT 2015,Atlanta,United States,"White cheddar grits, sautéed shitake and kale, asparagus, sunny side up egg #dinner #vegetarian http://t.co/roUCMckLQJ",neutral
Fri Apr 03 17:47:14 PDT 2015,"Lansing, MI",United States,Dinnertime!! Pork ragout over brown rice. #dinner #cleaneating #nutrition http://t.co/pbrGAYvYX7,neutral
Mon Feb 27 21:57:29 PST 2012,Chicago ,United States,Jambalaya Rice n Fried Chicken for the boo.  #DINNER,neg
Fri Aug 21 19:06:59 PDT 2015,"Buffalo, NY",United States,#CrabLegs for #Dinner! #ByMyself!! W/ #GarlicBread & sum #Trippy!! --> #Winning!! http://t.co/aGPHTYaazX,pos
Mon Aug 03 00:54:05 PDT 2015,"ÜT: -6.151668,106.85455",United States,Dim Sum #breakfast #foodgasm #Jakarta #photodaily @ Lai Ching http://t.co/ulk3HHt0rW,neg
Sun Dec 04 12:04:57 PST 2011,NIL,Egypt,Head to #echo! Hip scene & delish #happyhour. Order the veggie roll w added salmon for a clean #dinner  @EdibleSoFla http://t.co/WDHhYDEqdj,neutral
Tue Aug 28 19:44:37 PDT 2012,NIL,Egypt,Chinese food done right #dinner #yummy #rice http://t.co/ZME5XTcDey,pos
Tue Aug 25 00:50:48 PDT 2015,New York,United States,Chicken quesadillas #homemade #madefromscratch #food #foodforfoodies #dinner #latergram #instafood… http://t.co/bLVNMf28JI,neg
Sat Sep 04 12:23:57 PDT 2010,"Portland, OR",United States,It's a good night for fried chicken & mashed potatoes with pan gravy. #pdx #dinner #comfortfood http://t.co/GXO31Q1XpY,pos
Sun Jan 01 12:46:04 PST 2012,NIL,Egypt,Blacken chicken salad with roasted corn I'm a vinegar Olive oil dressing.@RonnieRMiller #yummy#dinner#salad#Chicken http://t.co/yEDiCxIaCE,pos
Tue Jun 12 10:50:53 PDT 2012,WI,United States,Dinner was roasted kabocha filled with a dippy egg & a side of bacon. It's a winner! 👍 #dinner… http://t.co/HtETAlecE7,pos
Tue Jan 06 11:23:01 PST 2009,Toronto,Canada,Chicken thigh sammy #dinner #inthehood @ The County General http://t.co/yQR61vnxkH,neutral
Thu Nov 06 22:43:12 PST 2008,Come pay me a visit on YouTube,United States,"#Breakfast, lunch and dinner combo. Chicken fried steak, eggs sunny side up, hash browns and toast.… http://t.co/7E9mQdoy89",neutral
Fri Aug 06 19:31:20 PDT 2010,Singapore,Singapore,#Breakfast #date with clem_me with our fave fried egg store. Ok la my favourite. This zabor been in… http://t.co/SPVVKycXmL,pos
Sun Jan 01 12:46:04 PST 2012,NIL,Egypt,Blacken chicken salad with roasted corn in a vinegar olive oil dressing. @RonnieRMiller #dinner #yummy #healthy http://t.co/KcMDrydzR8,pos
Wed Jun 09 19:36:32 PDT 2010,Look Behind You.,United States,Lunch is sushi and sushi is lunch #lunch #food #nomnomnom #sushi #sushiwednesday http://t.co/fh3G207DJp,neutral
Wed Apr 15 12:37:52 PDT 2015,Philadelphia,United States,RT @cbk_91: Blacken chicken salad with roasted corn in a vinegar olive oil dressing. @RonnieRMiller #dinner #yummy #healthy http://t.co/KcM…,pos
Thu Apr 22 19:13:53 PDT 2010,"Stouffville, Ontario",Canada,Sushi hopping with @coldmofo84. #sushi #dinner #didntlikethefirstplace,neutral
Mon Jun 04 02:57:55 PDT 2012,"Melbourne, Victoria",Australia,Beautiful risotto and wine at Customs with clarey222 #foodie #hobart #dinner #wine http://t.co/TOOVEOoprM,pos
Tue Jun 09 17:15:30 PDT 2015,Australia,Australia,Soon to be slow cooked Mexican beef #burritos #dinner #myfavourite http://t.co/ie8P1sQqe8,neutral
Wed Mar 25 12:57:18 PDT 2015,Somewhere on earth,United States,"Chicken curry for #dinner was a success!  Chicken *obviously* (marinated w/ curry powder, chopped… http://t.co/K219iFlTmM",neutral
Fri Jul 26 23:18:20 PDT 2013,NIL,Egypt,Dinner before our trip tomorrow! :) #sushidate #dinner @ Naruto Sushi http://t.co/mhMT8orAQ5,neutral
Wed Jun 09 19:36:32 PDT 2010,Look Behind You.,United States,Going in for the nom. Operation sushi in my mouth #sushiwednesday #sushi #food #nomnomnom #lunch http://t.co/ph49amUTSW,pos
Wed Mar 03 07:30:07 PST 2010,United States,United States,Chicken Makhni ! #dinner,neg
Sat Dec 08 11:42:29 PST 2012,Praise and Worship,United States,This beef nacho is waaay too BIG...#leftovers #lunch,neg
Fri Jan 04 13:56:37 PST 2013,"Gonzales, Louisiana",United States,Tomorrow's #lunch special: St. Louis Style #BBQ Pork Ribs with spaghetti & cheese and baked beans,pos
Tue Nov 03 22:13:43 PST 2009,"Miami, FL",United States,"Mmmmm, perfect roasted chicken #dinner #comfortfood #thefitcook http://t.co/b8CM6JDoDu",pos
Wed Mar 20 12:32:48 PDT 2013,Washington DC,United States,"My veggie equivalent of a steak. Massive mushroom, in this case with avocado and Sichuan spices. #veggies #plantbased #dinner #greendinner",pos
Mon Jun 15 11:45:44 PDT 2015,"New York, NY ",United States,Fried pork sandwich for #dinner @ Tina's Cuban Cuisine http://t.co/nk7UdXhBCr,neutral
Thu Apr 09 07:34:49 PDT 2015,Puttie's Hash House ,United States,Teriyaki Turkey Burger #dinner #xfactor #homesweethome ❤️ http://t.co/CKl0slMLrz,pos
Wed Sep 25 14:35:08 PDT 2013,NIL,Egypt,"#dinner made by my loving sis. Shaped into a HEART!  Grilled chicken thigh lettuce wraps w/tomatoes,… http://t.co/JRjdS1Ixhe",pos
Tue Oct 09 05:35:57 PDT 2012,United Kingdom,United Kingdom,RT @shopoholicsam: #Breakfast #date with clem_me with our fave fried egg store. Ok la my favourite. This zabor been in… http://t.co/SPVVKyc…,pos
Sun Mar 15 16:26:45 PDT 2015,USA,United States,"🍻dogfish red&white and blue point pumpkin beers, cheers! #beer #lunch #sissy #pumpkin #silly… http://t.co/mVbpbuxcfF",neg
Tue Jun 23 10:27:00 PDT 2015,"ÜT: -6.25831,106.93067",United States,Sandwich-Tuna roll brown-whole wheat bread.. #Nyanyam #breakfast #OCDoff [pic] — https://t.co/9tzmz3XR1K,pos
Tue Mar 17 14:21:53 PDT 2015,in a pineapple under the sea,United States,"Winnah winnah, chicken dinnah. #dinner #buffalowildwings http://t.co/hcwWkI5jqn",pos
Sun Feb 10 18:39:00 PST 2013,"Gainesville, FL ",United States,"Mmmmmh 😋 #Dinner 🍴Featured over a bed of spinach and spring mix are-chopped walnuts, crumbled banana… http://t.co/UV8omve3eE",neg
Tue Dec 01 17:03:07 PST 2009,Toronto ,Canada,Grilling up some chicken #Dinner http://t.co/NF8qQOvijK,pos
Wed Jan 18 06:36:35 PST 2012,Louisiana,United States,#Buffalo chicken and potato #casserole for #dinner! http://t.co/pjJD5D6y6J,pos
Tue Jul 26 18:54:54 PDT 2011,NIL,Egypt,I love homemade buffalo chicken tenders. #MyFavorite #Dinner,pos
Wed Apr 23 17:33:50 PDT 2008,"Los Angeles, Ca",United States,Fries chicken y'all. #dinner http://t.co/nWv8RWPOXw,pos
Wed Jan 02 19:37:28 PST 2013,"The Shores, Washington ",United States,Lemon & Garlic Chicken with Red Potatoes #foodporn #dinner #yum http://t.co/FVhwyY1rvn,pos
Tue Jul 16 06:10:08 PDT 2013,"Mérida, Yucatán",Mexico,Great time... Piola Wine #piola #wine #delish #drinks #fun #friends #dinner http://t.co/zKOQsnRRAL,pos
Thu May 05 15:28:45 PDT 2011,"Ontario, Canada",Canada,Dinner Time!! My mom's famous jot chicken wraps :) #yummy #food #dinner http://t.co/yoQZpLDEDe,pos
Thu Jul 08 21:04:03 PDT 2010,NIL,Egypt,Chicken & Rice . 😌😀😍 #dinner http://t.co/2mX2CXmmTk,neutral
Thu Apr 09 19:38:47 PDT 2015,"Temecula, California",United States,Lemon Garlic Chicken #homemade #dinner #food http://t.co/LjiN45Hc5o,neutral
Wed Nov 07 11:37:51 PST 2012,New York City,United States,"#Bfast banana, yogurt #Lunch whole wheat pita w/ avocado, spinach, feta, chickpeas, tomato #Dinner sushi #Snack nuts, apple #Nutritious!",pos
Mon Feb 25 14:16:02 PST 2013,NIL,Egypt,Need a quick #breakfast idea? This Egg McMuffin is ready in under 3 minutes {depending on your toaster}! http://t.co/YilMmPW4A1 #recipe #diy,pos
Wed Nov 07 11:37:51 PST 2012,New York City,United States,"#Bfast banana, yogurt #Lunch whole wheat pita w/ avocado, spinach, feta, chickpeas, tomato #Dinner sushi #Snack apple #Nutritious",pos
Wed Mar 24 04:15:41 PDT 2010,"Spring, Tx",United States,Honey Soy Chicken & Brussel Sprouts #healthyeats #instafood #food #dinner #healthy #chicken http://t.co/kDW53reXUk,pos
Thu Jul 09 14:38:34 PDT 2015,Briarcliff,United States,#Sushi #Dinner #BonsaiSushi #SD 🍙🍘🍣 @ Bonsai Sushi http://t.co/9F67Ej8NLe,pos
Fri Oct 14 19:32:00 PDT 2011,The Newkirk's Residence,United States," Late Night Special 😋👌 ' Chicken Stir Fry 👲 & White Rice 🍚 #Dinner🍴 #YallGucciOrNah 😏 "" http://t.co/RfsGZUNFEk""",pos
Tue Sep 14 22:52:09 PDT 2010,"Lima, Perú",Peru,#dinner of today pan integral con tofu en pedacitos dorados tomate cherry y sprouts de alfalfa! Mmmm… http://t.co/Gio2IggKTV,pos
Sun Mar 20 16:08:44 PDT 2011,NIL,Egypt,Sushi casero con la familia !!! #Dinner #Family #Sushi #Aunt #Cooking #Chef http://t.co/MQ7k1Gq2ob,pos
Wed Dec 01 11:01:19 PST 2010,NIL,Egypt,Brown rice and chicken #Dinner,neutral
Fri Jan 18 08:59:47 PST 2013,NIL,Egypt,RT @PIOLAMerida: Great time... Piola Wine #piola #wine #delish #drinks #fun #friends #dinner http://t.co/zKOQsnRRAL,pos
Tue Sep 17 21:42:38 PDT 2013,NIL,Egypt,What's for #dinner? Here's an idea! Lemon Chicken and Spinach http://t.co/InOunLOgTG ##thisiswhyimfull,pos
Thu Apr 02 15:25:29 PDT 2015,Los Angeles,United States,Tonight's #dinner Pork tenderloin with roasted spaghetti squash and grape tomatoes! #Yum #foodporn http://t.co/9ksoe0u3VP,pos
Sat Jul 21 17:52:43 PDT 2012,Las Vegas • Flagstaff ,United States,Making chicken & rice #Dinner,neg
Tue Feb 24 23:30:44 PST 2009,"Seattle, WA",United States,"Everybody and their mom is eating Ezell's tonight. After all, it is the best fried chicken in Seattle. #humpday #dinner",pos
Tue Dec 07 12:09:25 PST 2010,"Indianapolis, IN",United States,"When you're out of other protein, put an egg on it. #dinner http://t.co/rdiHSbQaaS",neg
Wed Dec 02 16:39:51 PST 2009,Canada ,Canada,Asia #Food #Amaizing #Vietnan #Dinner @ Saigon Asian http://t.co/ckdmj5nOkk,neutral
Sat Apr 04 23:11:05 PDT 2015,NIL,Egypt,Pumpkin with Tomato Sauce  http://t.co/aWBqPKU4SA #recipe #yummy #dinnertonight #dinner #lunch,neutral
Mon Sep 23 17:12:59 PDT 2013,NIL,Egypt,Pumpkin with Tomato Sauce  http://t.co/ZJIjUhlv03 #recipe #yummy #dinnertonight #dinner #lunch,neutral
Sat Mar 07 11:15:41 PST 2009,NIL,Egypt,"baked fried"" chicken and waffle sandwich. :-) #food #instafood #dinner http://t.co/ZOtlYwd9qG""",neg
Sat Apr 04 23:11:05 PDT 2015,NIL,Egypt,Pumpkin Pancakes http://t.co/Usx9livkbL  #yummy #food #recipes #breakfast,pos
Mon Sep 23 17:12:59 PDT 2013,NIL,Egypt,Pumpkin Pancakes http://t.co/3BNg0bbG0P  #yummy #food #recipes #breakfast,pos
Mon Sep 23 17:12:59 PDT 2013,NIL,Egypt,Curried Pumpkin Soup http://t.co/rM0tmOfLds #yummy #food #dinnertonight #recipes #lunch,neg
Sat Apr 04 23:11:05 PDT 2015,NIL,Egypt,Curried Pumpkin Soup http://t.co/TImtbMnxvx #yummy #food #dinnertonight #recipes #lunch,neg
Thu Jul 05 05:39:27 PDT 2012,"New York, NY",United States,#dinner with @benturshen dougturshen 🍝 #glutenfree #allergenfree #vegan Penne with Pumpkin Sage Sun… http://t.co/4l8cQzNiQd,neg
Thu Dec 22 16:41:11 PST 2011,NIL,Egypt,Honey chipotle chicken >>>> #dinner,neg
Wed Jan 28 15:46:47 PST 2009,Cali,Colombia,"Chicken tenderloins cooked in roasted garlic cream of chicken soup, broccoli and brown rice #dinner… http://t.co/nP1YjbmvLi",neutral
Fri Aug 27 13:47:39 PDT 2010,Where you think? ,United States,I think i could survive on sushi and wine forever. #sushi #wine #humpday #dinner #nightinwithmylove… http://t.co/NiUQefKpUN,pos
Tue Oct 01 22:22:28 PDT 2013,Caloocan City,United States,Toasted Bread & Egg ! #Perfect #Morning #breakfast,pos
Mon May 20 11:42:17 PDT 2013,Place Where The Sun Is Silent,United States,"Fried Chicken with sambal kobis,  godong gandul, godong budin, timun n empan ula #breakfast #hot http://t.co/p3p9ed34Co",pos
Sat Apr 04 23:11:05 PDT 2015,NIL,Egypt,How to Make Chicken Stock  http://t.co/u5p7T0ByMF #yummy #food #dinnertonight #recipes #lunch,pos
Mon Sep 23 17:12:59 PDT 2013,NIL,Egypt,How to Make Chicken Stock  http://t.co/WrfSVK9fEz #yummy #food #dinnertonight #recipes #lunch,pos
Sat Nov 26 12:28:58 PST 2011,"vancouver, bc",Canada,Making fried rice like an Asian means using day-old rice #likeanasian #dinner,neg
Fri Feb 05 04:02:01 PST 2010,Indonesia,Indonesia,Roll Lasagna Roll #vscocam #instavsco #vscocamera #vsco #roll #lasagna #breakfast http://t.co/JNzmBGdN8V,pos
Sat Dec 27 09:23:01 PST 2008,"Wasilla, Alaska",United States,"#dinner. Steamed broccoli, quinoa, & a poached egg with black pepper. Trying to lose some #####.… http://t.co/idZiZRiHea",neutral
Mon Sep 29 22:34:45 PDT 2008,"ÜT: 29.582992,-95.635967",United States,"Double cut pork chop, mashed potatoes, wilted spinach, apple sauce #yum #dinner @ Frank's Americana… http://t.co/MQghLnDsTg",pos
Wed Jul 01 19:08:39 PDT 2015,"Orange County, California",United States,Chicken tenderloin Vietnamese Ragu. Delicious and healthy. #nutrition #dinner #healthy #healthyeats… http://t.co/eGbwnebNJG,pos
Sat Dec 01 03:51:43 PST 2012,"imus , cavite ",Philippines,LunchTym :)))) Chicken Ulet:*  My Peyborit ^^^ #lunch#thursday#Chicken#Takaw http://t.co/Xvy4B5SS4C,neutral
Mon Aug 26 17:46:03 PDT 2013,Jalan Kunti 108 Seminyak ,Indonesia,"Very good #morning to u from our Bamboo Restaurant, let’s create #happiness today!  What's your #breakfast for today? http://t.co/4XNvCAeOK7",neutral
Mon Dec 19 21:13:40 PST 2011,Pasco WASHINGTON,United States,I made dinner for Father and Mother:) Fried Chicken w/ mashed Potatoes and GRAVY!! #dinner #chicken… http://t.co/cDN5z8TRVm,pos
Tue Sep 17 21:42:38 PDT 2013,NIL,Egypt,What's for #dinner? Here's an idea! Chicken Piccata http://t.co/yRvj8qYYn8 ##thisiswhyimfull,pos
Wed Jan 26 10:12:41 PST 2011,|1|2|3[4]5|6|7|8|,United States,“@TAYstycake: Baked chicken rice&gravy lasagna biscuits & pound cake & ice tea 😬😬 #dinner” 😩😩😩😩👏👏👏,pos
Wed Feb 25 09:57:57 PST 2009,City of Angels,United States,It's officially fall. Roast pork tenderloin with cranberry balsamic reduction. Mashed taters. #dinner… http://t.co/YqbRdrndzq,neutral
Sat Aug 22 13:10:56 PDT 2015,NIL,Egypt,Video: grilled cheese & pork wraps for dinner! @markers88 #mahal #dinner #macaroni #cheese #pork #bbq #salad... http://t.co/DlWN4Bdb29,neutral
Sun Feb 06 19:38:57 PST 2011,"BURTON,SC",United States,chicken ramen noodles and grape soda #Dinner,pos
Thu Apr 16 11:51:59 PDT 2015,"Chicago, IL",United States,#Dinner from the Mediterranean Char House on Broadway. #Chicago #foodie #latergrm http://t.co/Dp6qGfr9HU,pos
Tue Dec 20 21:05:10 PST 2011,NIL,Egypt,Baked Pumpkin Protein Donuts | #donuts #doughnuts #pumpkin #breakfast #healthy #fitfoods #cleaneats  http://t.co/tRLqZwAKq1,neutral
Tue Jun 07 19:01:20 PDT 2011,etownnn,United States,A lil wine & dine action before #1oak #201girlz #wine #dinner #classy @ Beyoglu Cafe & Lounge http://t.co/IwBmYyrcHn,neg
Thu Jun 11 23:50:53 PDT 2015,"Manila, Philippines",Philippines,Seafood Vegies for lunch.... #foodporn #lunch #Thursday http://t.co/G55JcwKijP,pos
Tue Aug 23 15:04:52 PDT 2011,"Berkeley, CA",United States,"Dim lighting, but a photo of this artic char was necessary 😛 #dinner #fooddiaries @ Absinthe Brasserie… http://t.co/hq7eoC1E9I",neg
Mon Jul 01 00:16:10 PDT 2013,NIL,Egypt,Laksa w/ extra chilli & cockles #ULS #breakfast http://t.co/lrYZsGA3Gk,pos
Tue Oct 06 11:00:54 PDT 2015,NIL,Egypt,#nofilter #dinner ....four cheese tortellini in marinara with raspberry walnut grilled chicken and… http://t.co/F9GGVAJcuk,pos
Tue Jan 26 15:22:52 PST 2010,NIL,Egypt,#Hbday #Betza #Friends #Dinner #Sushi #Drinks #Happiness #Girls #SushiTei @ Sushi Tei http://t.co/8xrcFK1JWa,neg
Fri Sep 20 14:03:02 PDT 2013,NIL,Egypt,Yum #dinner is Chicken Piccata http://t.co/Bhvuxff4bt ##thisiswhyimfull,pos
Thu Apr 29 22:42:38 PDT 2010,My house,Finland,First time eating and making sushi with Kurt #itwasok #sushi #soasian #japanese #lunch #foodpics #hungry http://t.co/8NnPxR92VN,pos
Fri May 11 18:12:44 PDT 2012,NIL,Egypt,Happy to know there is need wine out there I actually like. #goodcompany #dinner #reggae #relaxing… http://t.co/O6lJMVH8gb,pos
Fri Nov 20 04:09:58 PST 2009,Brunei,Brunei Darussalam,"Classic Beef Burger & Coconut Mango Bomb #latepost #dinner @ Bunker Bistro, Empire Country Club http://t.co/v0YxxLHbBC",pos
Tue Jul 20 09:59:10 PDT 2010,My Kitchen,France,My sister made a delicious seafood soup for #dinner! #foodporn  #foodie http://t.co/I5Ej5JyFOp,pos
Sun Dec 12 06:29:48 PST 2010,Munich,Germany,This is all the egg they were allowed to put in my #breakfast #sandwich #LOL #shutdown #USMC #ChowHall… http://t.co/MOtMA53YKv,pos
Mon Apr 07 19:15:44 PDT 2008,Sunny Singapore,United States,"Mee siam, popiah & iced milk tea for #lunch #food #foodporn #foodspotting #sgfood #instafood #noms… http://t.co/GPh09emXg3",neutral
Mon Jul 20 20:22:38 PDT 2015,NIL,Egypt,To die for @ Sushi Hotaru... #sashimi #lunch #yums http://t.co/zM7kgowYUk,pos
Thu Sep 03 01:21:58 PDT 2015,"iPhone: 14.602735,121.051193",United States,Chicken & Veggies Medley with Cashews sans rice for #lunch. Kain na! #food #homecookedmeal… http://t.co/SNmvTWH4sK,pos
Sun Apr 12 11:22:34 PDT 2015,"Las Vegas, NV",United States,Coconut chicken soup ce soir #dinner#soup#dolcedreams http://t.co/D6tCHNyn4r,neutral
Fri Aug 10 17:21:53 PDT 2012,NIL,Egypt,Pulled Pork Waffle Stack with Bourbon Maple Syrup #pork #waffle #bourbon #brunch #breakfast #donkykong http://t.co/2Db2mNA2M5,pos
Thu Dec 17 04:03:22 PST 2009,Singapore,Singapore,Noodle set with tea #umakemehungry #dinner #makan #coffeekaki #tea http://t.co/lkrsL4lpS8,neg
Mon Sep 30 09:26:22 PDT 2013,NIL,Egypt,LUNCH time...jom2.....hehe...^_^ #lunch #diet #kurustobe #single #solomenawan @ Noodle Station http://t.co/SUQTyFcspv,pos
Thu Feb 10 06:57:33 PST 2011,atlanta - greensboro,United States,BBQ chicken x Bacon Mac n Cheese #dinner #chef http://t.co/tJw9WM4liv,neg
Sun Aug 14 16:32:24 PDT 2011,The Valley - eewwwww,United States,Lunch with the BFF..... Our specially made roll was melt in your mouth delicious. #yum #lunch #bff… http://t.co/yWUctJw9qT,pos
Mon Mar 22 09:05:25 PDT 2010,U.K,United Kingdom,@aimeecharmorris Roast baby for #breakfast,neg
Sun Mar 08 08:43:03 PDT 2015,Worldwide,United States,Three Kings Roll #sushi #japanese #spicy #california #avocado #dinner @ Kitayama http://t.co/OQM5Dq43Jm,neutral
Tue Apr 27 12:41:22 PDT 2010,"ÜT: 51.4889137,-0.1937116",global,#chickenrice #boontongkee #singapore #singapura ข้าวมันไก่ในตำนาน #breakfast @ Boon Tong Kee 文东记 http://t.co/nnV9ZEdrHo,neg
Tue Mar 31 12:16:21 PDT 2015,RiChTowN!,United States,#Dinner @ Kenji Hibachi & Sushi Bar http://t.co/X3JErI0tTt,neg
Tue Nov 02 00:28:09 PDT 2010,"Kuching, Sarawak, Malaysia",Malaysia,My tofu kebab.... yummmm #lunch http://t.co/EjNsXwf81x,pos
Fri Mar 18 23:26:47 PDT 2011,Oregon,United States,"teriyaki chicken, brown rice, and honey ginger glazed carrots for dinner. just call me chef sarah. #yum #dinner",neutral
Wed Oct 28 17:01:03 PDT 2015,"Toronto, Ontario ",Canada,Gonna cook up some egg whites with beef stir fry slices for #breakfast / #lunch tomorrow :),neg
Thu Apr 16 11:51:59 PDT 2015,"Chicago, IL",United States,#Dinner: Pan roasted chicken with steamed veggies. #chicago #foodie #fitness #keepingithealthy… http://t.co/WIc3RXikrU,pos
Sun Jul 11 00:48:03 PDT 2010,indonesia,Indonesia,menanti chicken finger masterD #lunch,neutral
Thu Jun 04 19:47:05 PDT 2015,El Salvador,El Salvador,Sushi time with my besties 🍱 @euerivas @javierlara ❤️ 👫👫 #dinner #sushi #dragón #rolls @ Gohan… http://t.co/gerLiJlLBB,pos
