Date,Location,Country,Text,Sentiment
Sat Jun 01 08:12:07 PDT 2013,Washington CT ,United States,Breakfast:  hummus on a toasted everything bagel ~ Yum!  #breakfast #hummus #yummyyumyum,pos
Sat Dec 10 00:32:49 PST 2011,#Amman #Jordan #Iraq #Lebanon,global,Mansaf time #friday #mansaf #instafamily #lunch #meat #rice #jameed #foodporn #yamiiii #jordan @… http://t.co/hfmKMtBgnQ,neg
Fri Jun 04 10:48:38 PDT 2010,NIL,Egypt,RT @FalahAlSughayer: Mansaf time #friday #mansaf #instafamily #lunch #meat #rice #jameed #foodporn #yamiiii #jordan @… http://t.co/hfmKMtBg…,neg
Tue May 19 07:20:07 PDT 2015,"Salford, Greater Manchester",United Kingdom,@JoTweetsman will be happy Halloumi was present in my recent @NandosUK demolition! 😍🍴🐔👌👍 #Chicken #Peri #Manchester #Spinningfields #Lunch 🙈,neg
Sat Jun 05 22:44:14 PDT 2010,"Amman,Jordan",Jordan,RT @FalahAlSughayer: Mansaf time #friday #mansaf #instafamily #lunch #meat #rice #jameed #foodporn #yamiiii #jordan @… http://t.co/hfmKMtBg…,neg
Sat Mar 17 06:50:54 PDT 2012,Luton,United Kingdom,RT @ryanknowles_: @JoTweetsman will be happy Halloumi was present in my recent @NandosUK demolition! 😍🍴🐔👌👍 #Chicken #Peri #Manchester #Spin…,neutral
Sun Feb 19 00:51:11 PST 2012,#GGMU,global,RT @ryanknowles_: @JoTweetsman will be happy Halloumi was present in my recent @NandosUK demolition! 😍🍴🐔👌👍 #Chicken #Peri #Manchester #Spin…,neutral
Wed May 23 11:43:18 PDT 2012,Manchester,United Kingdom,RT @ryanknowles_: @JoTweetsman will be happy Halloumi was present in my recent @NandosUK demolition! 😍🍴🐔👌👍 #Chicken #Peri #Manchester #Spin…,neutral
Fri Jul 19 03:06:09 PDT 2013,"Los Angeles, CA",United States,"Doughy flatbread, fresh herbs, good olive oil - ready for the oven w/side of hummus #Lunch  http://t.co/tijq8EW09l",pos
Wed Mar 06 06:27:09 PST 2013,NIL,Egypt,"#Lunch today is a Southern, #GlutenFree spin on a Fattoush Salad. What are you having?  http://t.co/ACJvyzLoOB #vegan #veganlunch",neutral
Wed Mar 04 23:42:58 PST 2009,"Ann Arbor, Michigan",United States,"Middle East falafel baba ghannouj sandwich , apple plum lime club Soda,tomatoes.  #Lunch 3:02pm http://t.co/XUmcGpVVY5",neg
Mon Mar 28 22:33:08 PDT 2011,Manila ,Philippines,[VIDEO] Fridays with Chef Sheilla: Falafel Burger http://t.co/ybtGte1hgG #food #breakfast,neutral
Fri Aug 27 06:10:24 PDT 2010,Indonesia,Indonesia,Muka2 blm mandi nicavalona #aftershopping #dinner #friend #bestie http://t.co/BrK6xyFQ0o,pos
Mon Dec 10 09:11:28 PST 2012,NIL,Egypt,#mandi #rice #lunch #hangover #barsha #dubai #dxb @ Cabrito Mandi كبريتو للمندي http://t.co/x3uyfH8Mnj,pos
Sun Jul 14 21:45:34 PDT 2013,INDONESIA RAYA,Indonesia,RT @Sin_Face: #mandi #rice #lunch #hangover #barsha #dubai #dxb @ Cabrito Mandi كبريتو للمندي http://t.co/x3uyfH8Mnj,pos
Tue Oct 25 06:41:30 PDT 2011,Berlin,Germany,"puh, teig fürs ciabatta, zitronenmousse, gefüllte datteln, hummus und muhammara fertig #aechz #ko #food #blogger #lunch",neg
Tue Sep 09 20:05:39 PDT 2008,"Boston, MA",United States,Falafels!!! #food #yum #lunch #vegetarian @ Falafel King http://t.co/lfYmXzkH2p,pos
Sun Sep 06 01:03:22 PDT 2015,UK/IRE,United Kingdom,Cravin Thai Curry Falafel w/homemade hummus and lettuce wraps!:)#falafel#dinner#nomnom,pos
Tue Dec 04 03:23:39 PST 2012,UK/IRE,United Kingdom,@writingjwmccabe: Cravin Thai Curry Falafel w/homemade hummus and lettuce wraps!:) #falafel#dinner#nomnomnom,pos
Sun Aug 05 02:22:23 PDT 2012,UK/IRE,United Kingdom,Cravin Thai Curry Falafel w/homemade hummus and lettuce wraps!:)  #falafel#dinner#nomnomnom,pos
Wed Jul 25 07:42:47 PDT 2012,London,United Kingdom,“@writingjwmccabe: Cravin Thai Curry Falafel w/homemade hummus and lettuce wraps!:)  #falafel #dinner #nomnomnom”,pos
Sun Nov 07 10:52:02 PST 2010,UAE,Ukraine,Canadian mandi #lunch,pos
Wed Aug 10 02:12:27 PDT 2011,new york and tennessee. ,United States,"andy's hotfries, hummus and sweet tea. #dinner #10pm #nutrition",pos
Wed Aug 10 02:12:27 PDT 2011,"Dallas, TX",United States,"Delicious #dinner of #salad with dates and bleu cheese, plus falafel #quinoa and #veggies! http://t.co/KCnygkrMWL",pos
Mon Jan 24 08:07:50 PST 2011,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Thu Apr 30 00:28:42 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Thu Nov 11 20:34:10 PST 2010,NIL,Egypt,Sunday special : beef shawarma by sis .. freshly baked pita bread by mama ... #lunch #instafood #foodporn http://t.co/bNESvbqjiR,neg
Sat Jan 07 17:19:39 PST 2012,NIL,Egypt,Hummus Recipe http://t.co/2Rm1IaRiXj  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Sun Dec 28 11:03:40 PST 2008,No DM,United States,RT @MaggieHighway: Hummus Recipe http://t.co/2Rm1IaRiXj  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Tue Jun 21 08:14:13 PDT 2011,NIL,Egypt,RT @MaggieHighway: Hummus Recipe http://t.co/2Rm1IaRiXj  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Fri Apr 01 03:00:51 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Wed Nov 21 22:40:19 PST 2012,NIL,Egypt,RT @LeighannThorpe: Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Mon Sep 21 06:20:36 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Thu Sep 01 09:10:26 PDT 2011,NIL,Egypt,RT @DebiDavies: Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Wed May 08 15:07:13 PDT 2013,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Fri Sep 09 19:44:04 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/2Rm1IaRiXj  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Sat Mar 02 14:43:42 PST 2013,Scheveningen,Netherlands,Homemade falafel #lunch #instafood #nofilter #thanx #jamie :D http://t.co/aJlWkab3g4,pos
Tue Dec 25 17:37:24 PST 2012,NIL,Egypt,"Onion rings, chips, burgers and halloumi #fatties #gbk #lunch",neg
Tue Feb 21 02:08:18 PST 2012,NIL,Egypt,"@MeganRowlands18: Onion rings, chips, burgers and halloumi #fatties #gbk #lunch @ConorCamp",pos
Thu Dec 22 02:17:43 PST 2011,London,United Kingdom,"Delicious Omega 3 fix @LPQUK #wimbledon Avocado, White Bean & Lemon Hummus Tartine #lunch http://t.co/695XXQwT8Y",pos
Fri Aug 13 03:17:47 PDT 2010,winnipeg,Canada,falafel place? #sunday #breakfast,pos
Fri Nov 26 10:42:06 PST 2010,NYC    Don't munch and drive!,United States,RT @kellycattani: falafel place? #sunday #breakfast,pos
Fri Dec 25 01:04:58 PST 2009,"Cloud Cookoo, Nuneaton, U.K.",United States,Hummus and roasted vegetable panini #veggie #london #lunch #delicious http://t.co/f0kEfCd96L,pos
Tue May 22 16:11:41 PDT 2012,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch,pos
Tue Sep 20 23:37:28 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sat Apr 16 03:24:44 PDT 2011,New York,United States,Falafel and fries. So yum. #lunch #food #instagood #instagram http://t.co/UnKNtgXcPD,pos
Wed Jul 25 21:33:23 PDT 2007,London,United Kingdom,Fattoush salad @Fattoush #Haifa #dinner #fresh #veggie #healthy #fitness #food http://t.co/WCGiFWWhVT,pos
Mon Sep 16 22:44:16 PDT 2013,"ÜT: 19.442455,-70.687315",United States,"Hummus y pita"" riquísimo para cenar esta noche #cena #dinner #yummie #FoodPorn #Squareonecafe… http://t.co/gTNfAPeiMF""",neg
Thu Jul 14 02:37:42 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Tue Feb 22 12:26:47 PST 2011,NYC|MIA|SFO|ORL|MLN|LDN|PRS,United States,"Anyway, today's lunch is lite. Falafel and veggie samosas. #Yum #FoodPorn #Kuwait #Lunch",pos
Fri Jan 21 04:22:19 PST 2011,"Manila , Philippines ",Philippines,LABAN KA? After workout .. #Dinner #PancitCanton #Eggs #FriedEggs #Tustado #DinnerTime #WorkOut… http://t.co/MN6fWE5n0W,pos
Sun Aug 18 19:15:40 PDT 2013,"Oxford, UK",United Kingdom,Need some fuel for your fire? It's a good job it's spicy Moussaka for #lunch today with Baklava and Honey Cream for pudding!,pos
Tue Jul 20 21:18:02 PDT 2010,London,United Kingdom,Chicken Fattoush style (again @ Fattoush :)) #lunch #chicken #rice #vegetables #haifa #middle-east #foodstagram #... http://t.co/34tL8wnUfE,neutral
Tue Sep 20 12:20:32 PDT 2011,Dubai,United Arab Emirates,Shawarma avec @shredmydignity #lunch at mallu cafeteria,pos
Sat Aug 04 08:28:22 PDT 2012,"KT, CANADA",Canada,hummus and baby tomatoes on multigrain wrap :)  #sogood #lunch,neg
Thu May 10 04:25:35 PDT 2012,Dubai,United Arab Emirates,RT @IqraGee: Shawarma avec @shredmydignity #lunch at mallu cafeteria,neg
Thu Jun 18 08:49:40 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Mon May 04 05:15:09 PDT 2015,Los Angeles,United States,Vegan shawarma + dill chips = heaven #food #foodporn #yum #lunch http://t.co/35ij3oqBR0,pos
Wed Nov 16 14:03:03 PST 2011,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sun Feb 10 07:06:33 PST 2013,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sat Oct 23 15:16:53 PDT 2010,NIL,Egypt,RT @DebiDavies: Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,neutral
Sat Dec 03 04:47:39 PST 2011,Los Angeles,United States,Falafel with my girl! Aeshiere! #food #la #california #downtown #falafel #salat #night #dinner #fun… http://t.co/Jt2cQgdMVl,pos
Mon Aug 13 13:04:16 PDT 2012,"Sydney, Australia",Australia,"#octfoodphotos 7 & 8 | #meatless late #lunch - #beansupreme kofta lettuce wraps w avocado, tahini &… http://t.co/MfyhjRUmhG",neg
Thu Feb 03 08:08:24 PST 2011,London,United Kingdom,"Freshly prepared Lamb, chicken and halloumi ready on this beautiful October day :) let's eat!  #lunch #sunshine #leatherlane #streetfood",pos
Sun May 22 02:42:39 PDT 2011,Ottawa,Canada,"Just ate the best #lunch! hummus kale bean cherry tomato quinoa wrap, watermelon, & now my homemade squash carrot soup!",pos
Tue Aug 04 21:55:08 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Fri Nov 13 00:17:32 PST 2009,toronto ,Canada,italian hummus and naked pasta tho? 🍝🇮🇹💕 #italy #florence #pasta #hummus #love #dinner #night #friends… http://t.co/lnz3oEC1AK,pos
Wed Feb 09 06:58:32 PST 2011,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Thu May 20 03:50:49 PDT 2010,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Fri Feb 27 14:05:14 PST 2009,NIL,Egypt,Hummus Recipe http://t.co/L6S8ykWCB6  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Wed Mar 14 06:05:41 PDT 2012,VA/NYC,United States,Hummus & Pita Bread #dinner #yum,pos
Mon Nov 26 19:02:38 PST 2012,"JerZ Girl, living in the NOW! ",United States,#Dinner I made #falafel salad w/ hummus tahini dressing I also made... The falafel balls are… http://t.co/p4olefYSTK,pos
Fri Jan 21 04:22:19 PST 2011,"JerZ Girl, living in the NOW! ",United States,@IamRah: *hands plate* RT @me: #Dinner I made #falafel salad w/ hummus tahini dressing I also made... The falafel… http://t.co/p4olefYSTK,neg
Fri Dec 23 01:27:26 PST 2011,Greece,Greece,"A cup of boiled Greek coffee & some baklava to add a Greek twist to your #breakfast! GOOD MORNING!  "" (via... http://t.co/udVyW0vbse""",pos
Wed Sep 26 06:34:40 PDT 2012,NIL,Egypt,Hummus Recipe http://t.co/2Rm1IaRiXj  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Wed Aug 21 05:55:04 PDT 2013,NIL,Egypt,Shawarma  for #lunch ^_^,neg
Tue Jan 08 12:06:31 PST 2013,NIL,Egypt,"RT @victusandbibo: Freshly prepared Lamb, chicken and halloumi ready on this beautiful October day :) let's eat!  #lunch #sunshine #leather…",pos
Wed Feb 10 20:08:38 PST 2010,"Halifax, NS",Canada,Hummus and carrots. #lame yet #delicious #lunch http://t.co/tkFUh4Cq3C,pos
Mon Sep 16 13:20:07 PDT 2013,NIL,Egypt,Sweet Potato Hummus for #lunch! What are you having? http://t.co/YNUL7xpkAo #vegan #veganlunch,pos
Wed Apr 20 03:12:20 PDT 2011,"Birmingham, UK",United Kingdom,Grilled Halloumi & Roasted Veg couscous :-) #tweetwhatyoueat #dinner http://t.co/YG2phpRGT2,pos
Thu May 19 01:50:29 PDT 2011,"Anaheim, Ca",United States,hummus and sangria samplers. #lunch #dayoff #mydayisbetterthanyours http://t.co/Ddvs2qo7SI,pos
Tue Jul 21 06:45:33 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Fri Jul 08 00:41:50 PDT 2011,"Houston, Texas",United States,"Grilled chicken, spinach, tomato and hummus sammich with spicy sweet potato fries! #dinner #dineathome… http://t.co/IjppYdSmg1",neutral
Tue Mar 06 05:33:37 PST 2012,New Hampshire,United States,Nutrition class day 6: Sandwiches- Falafel #food #foodporn #falafel #healthy #nutrition #dinner #sandwich http://t.co/BitLa1qC1S,pos
Mon Mar 01 07:46:13 PST 2010,NYC,United States,Hummus to go! #lunch #branding http://t.co/MIMsEJVaOq,neutral
Sun Oct 04 20:14:24 PDT 2015,Not too far from home,United States,RT @miketaaague: Hummus to go! #lunch #branding http://t.co/MIMsEJVaOq,neg
Fri Sep 20 14:03:02 PDT 2013,Kansas City ,United States,RT @miketaaague: Hummus to go! #lunch #branding http://t.co/MIMsEJVaOq,neg
Fri May 29 06:52:57 PDT 2015,Ashby-de-la-Zouch,United Kingdom,Roasted Mediterranean veg with hummus on toasted ciabatta. Amazing- love the Posh Pantry :) #lunch… http://t.co/dh59e24K9f,pos
Tue May 08 02:16:03 PDT 2012,London,United Kingdom,"Just made falafel and hummus from scratch, with pita and tomato salad for #lunch. #healthy #vegetarian.",pos
Fri Oct 01 23:25:46 PDT 2010,"Orlando, Florida",United States,New lunchtime obsession: Hubbly Bubbly Falafel Shop in College Park! #lunch #falafel #orlando #eatlocal http://t.co/gF1jH5Fa32,neutral
Fri Jul 10 02:25:51 PDT 2015,NIL,Egypt,Hummus Recipe http://t.co/L6S8ykWCB6  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sat Oct 10 10:23:52 PDT 2015,NIL,Egypt,At the zoo w/ the kids I nanny. Pb & jam wheat roll-turkey & hummus wheat roll-fruit & broccoli & seaweed. #lunch http://t.co/NUQBv5clqp,pos
Thu Jul 04 18:36:05 PDT 2013,"Houston, TX",United States,"Salad + quesadilla"" made with hummus",pos
Fri Apr 17 09:33:48 PDT 2015,"Houston, Texas",United States,I can eat hummus all day errday! #lunch http://t.co/R5gBTfGURa,pos
Sat Jan 19 07:26:06 PST 2013,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sun Jan 03 23:36:52 PST 2010,NIL,Egypt,Hummus Recipe http://t.co/1zltsU9Xfd  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Thu Jan 06 06:24:44 PST 2011,Venezuela,"Venezuela, Bolivarian Republic of","It's the right time for #dinner!! I'll make some Shawarma sandwich, I got some Arabian bread!! :D Xoxo",neutral
Mon Feb 13 02:06:53 PST 2012,AZ/UK/NYC,United States,Falafel reminds me of bendoiun tent in brooklyn #falafel #dinner #newyork #tucson #pitajungle http://t.co/DOwLpKgxDA,pos
Fri Mar 22 03:16:47 PDT 2013,"General Trias, Cavite",Philippines,"Shawarma with rice, tara let's eat!  #Lunch #foodies #foodpOrn #foodtrip #foodlover http://t.co/FfQf9bmH5T",pos
Mon Feb 01 10:41:11 PST 2010,Beirut-Lebanon,Lebanon,#todays #lunch kousa bi laban #yummy #healthy #lowcal only 405 kcal #neeviesante #catering 03-789096 01-707809... http://t.co/EefMYvPlVH,pos
Fri Feb 03 07:32:56 PST 2012,NIL,Egypt,Falafel close up #breakfast #jo #amman http://t.co/WbCP2h0wce,pos
Thu Jul 22 06:24:33 PDT 2010,Ashrafieh - Lebanon,Lebanon,Fattoush For Lunch :D #lunch#fattoush#diet http://t.co/9JZ1n6bAAO,neg
Sun May 17 19:12:37 PDT 2015,"ÜT: 14.5716081,121.1381502",United States,"Dinner Time. #cheatday #busog by @nikatijing Shawarma + Siomai Rice = SOLB!👍😄 #dinner #foodchannel… http://t.co/10AvYRJnXJ""",neg
Sun Feb 15 00:45:27 PST 2009,NIL,Egypt,Hummus n pita bread :) #breakfast,pos
Thu Aug 16 02:54:20 PDT 2012,"Jersey City, NJ",United States,mamoun's falafel and hummus sandwich & blackberry juice! #lunch #middleeastern #delicious http://t.co/sZhk5NP452,pos
Sun Jan 29 06:48:11 PST 2012,IN HIS HANDS,United States,😜 #LUNCH is served! Cobb chicken salad with a side of olive hummus and fresh veggies #EatClean 🍅🌽 http://t.co/hMoNDXA02w,pos
Mon Oct 26 05:47:45 PDT 2015,West LA ,Kenya,Craving hummus since this morning and @Starbucks didn't have my box 😪 #FirstWorldProblems #boo #hungry #lunch #tgif,neg
Wed Nov 14 13:31:13 PST 2012,NIL,Egypt,RT @unic0rnsprinkle: Craving hummus since this morning and @Starbucks didn't have my box 😪 #FirstWorldProblems #boo #hungry #lunch #tgif,neg
Sun Sep 08 00:08:51 PDT 2013,NIL,Egypt,Can Wait by Prince? Its is it acceptable to mandi then breakfast #breakfast #haiku,pos
Sun Sep 09 14:22:24 PDT 2012,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Thu Mar 04 17:18:43 PST 2010,NIL,Egypt,Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Mon Apr 04 12:36:27 PDT 2011,NIL,Egypt,RT @LeighannThorpe: Hummus Recipe http://t.co/EQwm7I3sqY  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Sat Sep 25 03:11:28 PDT 2010,NIL,Egypt,Baby great with his uncle wackey and aunties andi and mandi #pingoys #family #dinner #babygreat #6mos http://t.co/jQMbAOXX5f,neutral
Tue Sep 20 23:37:28 PDT 2011,KUWAIT♥ KUNIV FUTURE TEACHER♥,United States,Turkey on parmesan bagel sandwich + fattoush salad + pepsi #Dinner,pos
Sat Jul 13 08:37:55 PDT 2013,Palm Beach County,United States,Greek food it is! Start off with homemade hummus #lunch http://t.co/dNQhMPkEIB,pos
Sat Jul 30 11:08:12 PDT 2011,Surburbs Of The MotorCity,United States,#NerdysGrub|#Lunch Chicken Shawarma from Shish-Kabob!  #GoodEats #InstaFood #ShishKabob #ChickenShawarma http://t.co/qOEgBbhxit,neg
Wed Jun 10 21:51:38 PDT 2015,"Chicago, Illinois ",United States,"Simple #breakfast - bakery fresh bread, homemade hummus and two farm fresh eggs. http://t.co/7A53pfzpkh",pos
Fri Jul 05 05:12:30 PDT 2013,NIL,Egypt,hummus chicken shawarma and one tree hill #nopatients #lunch,pos
Sat Feb 02 14:33:33 PST 2013,"Gates of Hell -Manila,PH & DXB",United States,Mandi on Sunday. #Dinner #chicken #mutton http://t.co/iFPaCpUXp9,pos
Thu Oct 13 02:28:06 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/L6S8ykWCB6  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Tue Sep 17 08:52:49 PDT 2013,"New York, NY",United States,Lamb shish kebab with homemade tzatziki sauce #dinner http://t.co/M38deaczcI,pos
Mon Jan 28 21:29:24 PST 2013,UK,United Kingdom,RT @OperaGaga: Lamb shish kebab with homemade tzatziki sauce #dinner http://t.co/M38deaczcI,pos
Wed Aug 03 16:11:53 PDT 2011,NIL,Egypt,Hummus Recipe http://t.co/dUUdAww0H9  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Tue Feb 19 13:27:07 PST 2013,No DM,United States,RT @DebiDavies: Hummus Recipe http://t.co/dUUdAww0H9  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Mon Mar 12 04:48:06 PDT 2012,NIL,Egypt,I love my salads for lunch! Rijstwafel met hummus erbij... En klaar! #lunch #salad #spinach #cleaneating http://t.co/GblF6V5zWW,pos
Wed Jun 20 05:52:33 PDT 2012,New York,United States,"#breakfast... Two slices of Ezekiel bread with poached eggs, tomato, hummus and Greek yogurt sauce.… http://t.co/SeCDaKVkp4",pos
Tue Mar 09 06:42:32 PST 2010,NIL,Egypt,Hummus & Fallafel :D #breakfast,neutral
Wed Feb 17 05:03:28 PST 2010,"Stockholm, Sweden",Sweden,Shakshouka (eggs cooked in spicy tomato sauce) with grated feta cheese and toast. #dinner #meatlessmonday http://t.co/fpHc0ikzdI,neg
Sat Mar 14 22:08:31 PDT 2015,Slakthusområdet.Stockholm.Swe,United States,RT @Foodetc: Shakshouka (eggs cooked in spicy tomato sauce) with grated feta cheese and toast. #dinner #meatlessmonday http://t.co/fpHc0ikz…,neg
Sat Oct 22 09:46:04 PDT 2011,"Rio de Janeiro, Brasil",Brazil,Sanduíche de falafel básico! @bazzarfood #gastronomia #foodie #instafood #gourmet #almoço #lunch… http://t.co/i7cVK6lGJu,neutral
Tue Mar 05 11:02:46 PST 2013,Baden Baden,Germany,RT @Foodetc: Shakshouka (eggs cooked in spicy tomato sauce) with grated feta cheese and toast. #dinner #meatlessmonday http://t.co/fpHc0ikz…,neg
Tue Aug 07 07:16:08 PDT 2012,NIL,Egypt,Hummus Recipe http://t.co/QuXVkyAPS7  #recipe #yummy #food #foodpeople  #dinner #dinnertonight #lunch #football,pos
Tue Jul 09 06:56:47 PDT 2013,Everywhere Ur Not!,United States,#DINNER (BTW I'm singing the shawarma song I made up when we were in London) lol @quesadillah fabhima http://t.co/pbUCkAkn6s,pos
